,,OPERATE Time,STOP Time,ALARM Time,EMERGENCY Time,MANUAL Time,SUSPEND Time,DISCONNECT Time
,Prefix / Suffix,OPERATE.statustime,STOP.statustime,ALARM.statustime,EMERGENCY.statustime,MANUAL.statustime,SUSPEND.statustime,DISCONNECT.statustime
Past 1 month,MONTH,663691,529763,13908.5,1248,0,113401.5,747826.5
1Weeks,1WEEKS,232826.5,211563.5,1793,24.5,0,34126,124466.5
2Weeks,2WEEKS,218256.5,226093.5,6233,134,0,24383.5,122138
3Weeks,3WEEKS,136430.5,216802.5,4798.5,77,0,25897,220794.5
4Weeks,4WEEKS,129685,220070.5,1317.5,745,0,23156.5,229825.5
5Weeks,5WEEKS,46492.5,55233,766.5,267.5,0,5838.5,150602
Monday,MON,135685,152250,1190.5,515.5,0,13865,128494
Tuesday,TUE,132599,147061.5,1129,126,0,33611,24923
Wednesday,WED,114660.5,147928.5,4829,165,0,18122,59895
Thursday,THU,148805,152428.5,3043.5,35,0,17184.5,24103.5
Friday,FRI,124198,176142,3370,285,0,17022,24583
Saturday,SAT,107743.5,153952.5,1346.5,121.5,0,13597,153828
Sunday,SUN,0,0,0,0,0,0,432000
0 TO 1 O'clock,HR_0TO1,30549,39454,725.5,110.5,0,4371.5,36389.5
1 TO 2 O'clock,HR_1TO2,16162,35369,394,178,0,5193.5,54303.5
2 TO 3 O'clock,HR_2TO3,26020.5,24123,904.5,0,0,2952,57600
3 TO 4 O'clock,HR_3TO4,24384,28383.5,135.5,0,0,1097,57600
4 TO 5 O'clock,HR_4TO5,23551.5,25394,1061.5,21,0,2917.5,58654.5
5 TO 6 O'clock,HR_5TO6,19660,23775.5,683.5,0,0,2988.5,61200
6 TO 7 O'clock,HR_6TO7,26372,19296,154.5,0,0,1716.5,61203
7 TO 8 O'clock,HR_7TO8,26086.5,21036,1357.5,345,0,5976,56799
8 TO 9 O'clock,HR_8TO9,49549,34313.5,369.5,0,0,5768,21600
9 TO 10 O'clock,HR_9TO10,36362,45492.5,347,0,0,3191.5,25554.5
10 TO 11 O'clock,HR_10TO11,39633,44282.5,894.5,0,0,2480.5,24309.5
11 TO 12 O'clock,HR_11TO12,33839,44883.5,3514,0,0,7214.5,21757
12 TO 13 O'clock,HR_12TO13,26706.5,51626,648.5,55,0,9829.5,22368
13 TO 14 O'clock,HR_13TO14,33854.5,48408,91,76,0,4395.5,24775
14 TO 15 O'clock,HR_14TO15,32276.5,51697,77,20,0,2755.5,24774
15 TO 16 O'clock,HR_15TO16,37692.5,44520,953.5,0,0,3080,25354
16 TO 17 O'clock,HR_16TO17,45945,37178,660,0,0,5270,22547
17 TO 18 O'clock,HR_17TO18,37208.5,48476,175,2.5,0,4138,21600
18 TO 19 O'clock,HR_18TO19,30197,52116.5,172,280,0,6795.5,22039
19 TO 20 O'clock,HR_19TO20,34638,44845,174,65,0,8525,23353
20 TO 21 O'clock,HR_20TO21,31255,44144.5,509.5,0,0,10491,25200
21 TO 22 O'clock,HR_21TO22,40453.5,39132.5,83,47.5,0,6345.5,25538
22 TO 23 O'clock,HR_22TO23,28563.5,42433,594,47.5,0,2654,37308
23 TO 24 O'clock,HR_23TO24,32732,39383.5,229.5,0,0,3255,36000
Aggregate 1 day,DAY_1,31207,37609.5,901,24.5,0,5743.5,10914.5
Aggregate 2 day,DAY_2,0,0,0,0,0,0,86400
Aggregate 3 day,DAY_3,35254,22265.5,2.5,0,0,4027.5,24850.5
Aggregate 4 day,DAY_4,38959.5,40652.5,518.5,0,0,6269.5,0
Aggregate 5 day,DAY_5,36968.5,37127,131.5,0,0,10086.5,2086.5
Aggregate 6 day,DAY_6,48246.5,35454,195,0,0,2504.5,0
Aggregate 7 day,DAY_7,42191,38455,44.5,0,0,5494.5,215
Aggregate 8 day,DAY_8,28413.5,44332.5,72.5,28.5,0,1659,10483
Aggregate 9 day,DAY_9,0,0,0,0,0,0,86400
Aggregate 10 day,DAY_10,23361,32897,105.5,12.5,0,5098,24926
Aggregate 11 day,DAY_11,38963,38883.5,28,0,0,2372,3
Aggregate 12 day,DAY_12,49018.5,31490,3711.5,2.5,0,2023.5,154
Aggregate 13 day,DAY_13,38362.5,38792.5,1420.5,0,0,7824.5,0
Aggregate 14 day,DAY_14,40138,39698,895,90.5,0,5406.5,172
Aggregate 15 day,DAY_15,0,0,0,0,0,0,86400
Aggregate 16 day,DAY_16,0,0,0,0,0,0,86400
Aggregate 17 day,DAY_17,41215,19394.5,52,0,0,779,24959.5
Aggregate 18 day,DAY_18,34853,38660,281,0,0,12606,0
Aggregate 19 day,DAY_19,7759,50982,750,77,0,3951,22881
Aggregate 20 day,DAY_20,31667.5,48247,1381,0,0,4950.5,154
Aggregate 21 day,DAY_21,20936,59519,2334.5,0,0,3610.5,0
Aggregate 22 day,DAY_22,22814.5,49192.5,367,24,0,3309.5,10692.5
Aggregate 23 day,DAY_23,0,0,0,0,0,0,86400
Aggregate 24 day,DAY_24,14671,45278,270,280,0,1007,24894
Aggregate 25 day,DAY_25,19823.5,28865.5,301.5,126,0,12363.5,24920
Aggregate 26 day,DAY_26,20914.5,28329.5,236,85.5,0,2061,34773.5
Aggregate 27 day,DAY_27,30528.5,29935,47,35,0,1905,23949.5
Aggregate 28 day,DAY_28,20933,38470,96,194.5,0,2510.5,24196
Aggregate 29 day,DAY_29,25308.5,22818,6,44.5,0,2885,35338
Aggregate 30 day,DAY_30,0,0,0,0,0,0,86400
Aggregate 31 day,DAY_31,21184,32415,760.5,223,0,2953.5,28864
