,,OPERATE Time,STOP Time,ALARM Time,EMERGENCY Time,MANUAL Time,SUSPEND Time,DISCONNECT Time
,Prefix / Suffix,OPERATE.statustime,STOP.statustime,ALARM.statustime,EMERGENCY.statustime,MANUAL.statustime,SUSPEND.statustime,DISCONNECT.statustime
Past 1 month,MONTH,283262,146400,1108.5,144.5,0,33147.5,451883.5
1Weeks,1WEEKS,0,0,0,0,0,0,0
2Weeks,2WEEKS,0,0,0,0,0,0,0
3Weeks,3WEEKS,0,0,0,0,0,0,57236
4Weeks,4WEEKS,180292,85072.5,1108.5,121,0,23858.5,309057.5
5Weeks,5WEEKS,102970,61327.5,0,23.5,0,9289,85590
Monday,MON,59232,17648,1077,0,0,8197.5,245.5
Tuesday,TUE,42678,21222,31.5,35.5,0,1721,20712
Wednesday,WED,5871,12435.5,0,0,0,696,67394
Thursday,THU,47848.5,23857,0,0,0,11682.5,60214
Friday,FRI,48553.5,32583,0,0,0,5263.5,86400
Saturday,SAT,64511.5,27417.5,0,47.5,0,4936.5,70634.5
Sunday,SUN,14567.5,11237,0,61.5,0,650.5,146283.5
0 TO 1 O'clock,HR_0TO1,17035,4962.5,15.5,23.5,0,373.5,17190
1 TO 2 O'clock,HR_1TO2,12812.5,5191,0,24,0,2.5,21570
2 TO 3 O'clock,HR_2TO3,7638.5,6923.5,0,35.5,0,290,24712.5
3 TO 4 O'clock,HR_3TO4,3109,7107,0,0,0,4184,25200
4 TO 5 O'clock,HR_4TO5,3388.5,6285.5,168.5,0,0,4557.5,25200
5 TO 6 O'clock,HR_5TO6,2578,7168.5,0,0,0,4653.5,25200
6 TO 7 O'clock,HR_6TO7,5380,3774.5,0,0,0,5245.5,25200
7 TO 8 O'clock,HR_7TO8,8522.5,6411,0,61.5,0,190.5,24414.5
8 TO 9 O'clock,HR_8TO9,9481,6297.5,6.5,0,0,3724,16457
9 TO 10 O'clock,HR_9TO10,14631,6911,0,0,0,58,14400
10 TO 11 O'clock,HR_10TO11,11516.5,9995,0,0,0,88.5,14400
11 TO 12 O'clock,HR_11TO12,12245,8555,2.5,0,0,797.5,14400
12 TO 13 O'clock,HR_12TO13,5148,16132,17.5,0,0,302.5,14400
13 TO 14 O'clock,HR_13TO14,11548,6684.5,2.5,0,0,814.5,15454
14 TO 15 O'clock,HR_14TO15,12114.5,2998.5,0,0,0,2887,14400
15 TO 16 O'clock,HR_15TO16,14707,5744.5,0,0,0,929.5,14469.5
16 TO 17 O'clock,HR_16TO17,15655.5,5749.5,2.5,0,0,169,17649.5
17 TO 18 O'clock,HR_17TO18,14975.5,4367,893,0,0,904,18460.5
18 TO 19 O'clock,HR_18TO19,13706.5,6659,0,0,0,682.5,18552
19 TO 20 O'clock,HR_19TO20,20129.5,1456,0,0,0,14.5,18000
20 TO 21 O'clock,HR_20TO21,14850.5,6214.5,0,0,0,535,18000
21 TO 22 O'clock,HR_21TO22,17965.5,2855,0,0,0,779.5,18000
22 TO 23 O'clock,HR_22TO23,17168.5,3655.5,0,0,0,622,18154
23 TO 24 O'clock,HR_23TO24,16955.5,4302,0,0,0,342.5,18000
Aggregate 1 day,DAY_1,0,0,0,0,0,0,0
Aggregate 2 day,DAY_2,0,0,0,0,0,0,0
Aggregate 3 day,DAY_3,0,0,0,0,0,0,0
Aggregate 4 day,DAY_4,0,0,0,0,0,0,0
Aggregate 5 day,DAY_5,0,0,0,0,0,0,0
Aggregate 6 day,DAY_6,0,0,0,0,0,0,0
Aggregate 7 day,DAY_7,0,0,0,0,0,0,0
Aggregate 8 day,DAY_8,0,0,0,0,0,0,0
Aggregate 9 day,DAY_9,0,0,0,0,0,0,0
Aggregate 10 day,DAY_10,0,0,0,0,0,0,0
Aggregate 11 day,DAY_11,0,0,0,0,0,0,0
Aggregate 12 day,DAY_12,0,0,0,0,0,0,0
Aggregate 13 day,DAY_13,0,0,0,0,0,0,0
Aggregate 14 day,DAY_14,0,0,0,0,0,0,0
Aggregate 15 day,DAY_15,0,0,0,0,0,0,0
Aggregate 16 day,DAY_16,0,0,0,0,0,0,0
Aggregate 17 day,DAY_17,0,0,0,0,0,0,0
Aggregate 18 day,DAY_18,0,0,0,0,0,0,0
Aggregate 19 day,DAY_19,0,0,0,0,0,0,0
Aggregate 20 day,DAY_20,0,0,0,0,0,0,0
Aggregate 21 day,DAY_21,0,0,0,0,0,0,57236
Aggregate 22 day,DAY_22,0,0,0,0,0,0,86400
Aggregate 23 day,DAY_23,24372.5,9876.5,0,24,0,1561.5,45313
Aggregate 24 day,DAY_24,290,33.5,0,61.5,0,0,86015
Aggregate 25 day,DAY_25,59232,17648,1077,0,0,8197.5,245.5
Aggregate 26 day,DAY_26,42678,21222,31.5,35.5,0,1721,20712
Aggregate 27 day,DAY_27,5871,12435.5,0,0,0,696,67394
Aggregate 28 day,DAY_28,47848.5,23857,0,0,0,11682.5,2978
Aggregate 29 day,DAY_29,48553.5,32583,0,0,0,5263.5,0
Aggregate 30 day,DAY_30,40139,17541,0,23.5,0,3375,25321.5
Aggregate 31 day,DAY_31,14277.5,11203.5,0,0,0,650.5,60268.5
