,,OPERATE Time,STOP Time,ALARM Time,EMERGENCY Time,MANUAL Time,SUSPEND Time,DISCONNECT Time
,Prefix / Suffix,OPERATE.statustime,STOP.statustime,ALARM.statustime,EMERGENCY.statustime,MANUAL.statustime,SUSPEND.statustime,DISCONNECT.statustime
Past 1 month,MONTH,877385.5,823260.5,1797.5,176.5,0,103511,864707.5
1Weekｓ,1WEEKS,176589,260883,568.5,43,0,42692,124024.5
2Weekｓ,2WEEKS,214389,228253,550.5,25.5,0,32147.5,121873
3Weekｓ,3WEEKS,176422.5,189855,285,44,0,15737.5,222456
4Weekｓ,4WEEKS,221953.5,120404,301.5,44,0,12653,249444
5Weekｓ,5WEEKS,88031.5,23865.5,92,20,0,281,146910
Monday,MON,169972.5,102567,77.5,20,0,14730,144633
Tuesday,TUE,141346,154398.5,390,20.5,0,12793.5,30501
Wednesday,WED,115403,158191.5,458,42.5,0,17678,53827
Thursday,THU,127722.5,167255.5,434,0,0,24984.5,25203.5
Friday,FRI,176428,130612,266.5,0,0,13455.5,24838
Saturday,SAT,146513.5,110236,171.5,93.5,0,19869.5,153705
Sunday,SUN,0,0,0,0,0,0,432000
0 TO 1 O'clock,HR_0TO1,36738,29721,9,20,0,5106.5,40005.5
1 TO 2 O'clock,HR_1TO2,19934.5,30227.5,66.5,23,0,4876.5,56472
2 TO 3 O'clock,HR_2TO3,18428.5,28837.5,88,0,0,6646,57600
3 TO 4 O'clock,HR_3TO4,22853.5,28428.5,0,0,0,2718,57600
4 TO 5 O'clock,HR_4TO5,28756.5,22724,69.5,0,0,2450,57600
5 TO 6 O'clock,HR_5TO6,26208.5,21208.5,28.5,0,0,3262,57600
6 TO 7 O'clock,HR_6TO7,22783.5,27246,37,0,0,1072.5,57603
7 TO 8 O'clock,HR_7TO8,35325,19648,97,0,0,1447.5,55082.5
8 TO 9 O'clock,HR_8TO9,48101,40953,19.5,0,0,906,21620.5
9 TO 10 O'clock,HR_9TO10,42668,37705.5,86,0,0,4628,25860
10 TO 11 O'clock,HR_10TO11,46746.5,32084.5,83.5,0,0,7119,25566.5
11 TO 12 O'clock,HR_11TO12,42773,38693,86,0,0,4234.5,25421.5
12 TO 13 O'clock,HR_12TO13,36783.5,47351,13.5,0,0,1881.5,25204
13 TO 14 O'clock,HR_13TO14,39624,40165,371.5,21.5,0,6899,24519
14 TO 15 O'clock,HR_14TO15,37420,41496,106.5,21,0,7910.5,24646
15 TO 16 O'clock,HR_15TO16,40606.5,41556.5,51,0,0,4186,25200
16 TO 17 O'clock,HR_16TO17,46786.5,40769,76.5,0,0,1507.5,22460.5
17 TO 18 O'clock,HR_17TO18,39373.5,46528,166.5,0,0,2933.5,22598.5
18 TO 19 O'clock,HR_18TO19,41231.5,40475.5,131,0,0,3817.5,25944.5
19 TO 20 O'clock,HR_19TO20,44179,35401.5,115,20.5,0,5167.5,26716.5
20 TO 21 O'clock,HR_20TO21,41072.5,37796.5,5,0,0,7526,25200
21 TO 22 O'clock,HR_21TO22,47278,30944,55,0,0,8123,25200
22 TO 23 O'clock,HR_22TO23,38956,28337,20.5,70.5,0,4725,39491
23 TO 24 O'clock,HR_23TO24,32758,34963.5,15,0,0,4367.5,39496
Aggregate 1 day,DAY_1,18919.5,43991,52,21.5,0,12665.5,10750.5
Aggregate 2 day,DAY_2,0,0,0,0,0,0,86400
Aggregate 3 day,DAY_3,25537.5,33091,35,0,0,3145.5,24591
Aggregate 4 day,DAY_4,39726,43237.5,119.5,0,0,3305,12
Aggregate 5 day,DAY_5,17575,60112,332.5,21.5,0,6303.5,2055.5
Aggregate 6 day,DAY_6,39149,36416.5,19,0,0,10815.5,0
Aggregate 7 day,DAY_7,35682,44035,10.5,0,0,6457,215.5
Aggregate 8 day,DAY_8,36517,34198,15.5,25.5,0,3628,10605
Aggregate 9 day,DAY_9,0,0,0,0,0,0,86400
Aggregate 10 day,DAY_10,42383,10083.5,12.5,0,0,9056,24865
Aggregate 11 day,DAY_11,49305.5,29114,8,0,0,1819,3
Aggregate 12 day,DAY_12,31525.5,48721.5,55.5,0,0,6097.5,0
Aggregate 13 day,DAY_13,21719,58126,248.5,0,0,6306.5,0
Aggregate 14 day,DAY_14,32939,48010,210.5,0,0,5240.5,0
Aggregate 15 day,DAY_15,3.5,56.5,0,23,0,55.5,86261.5
Aggregate 16 day,DAY_16,0,0,0,0,0,0,86400
Aggregate 17 day,DAY_17,18485.5,40873.5,20,0,0,1938.5,25082.5
Aggregate 18 day,DAY_18,35312.5,46778,99.5,0,0,4210,0
Aggregate 19 day,DAY_19,30785.5,29791,47,21,0,1197.5,24558
Aggregate 20 day,DAY_20,33660.5,45643,87,0,0,6855.5,154
Aggregate 21 day,DAY_21,58175,26713,31.5,0,0,1480.5,0
Aggregate 22 day,DAY_22,53118,19262,20,23.5,0,3327.5,10649
Aggregate 23 day,DAY_23,0,0,0,0,0,0,86400
Aggregate 24 day,DAY_24,33490.5,7382,2,0,0,502,45023.5
Aggregate 25 day,DAY_25,17002,35269,163,20.5,0,3459.5,30486
Aggregate 26 day,DAY_26,35517,19567,23,0,0,4079.5,27213.5
Aggregate 27 day,DAY_27,33194,27070,79.5,0,0,1007,25049.5
Aggregate 28 day,DAY_28,49632,11854,14,0,0,277.5,24622.5
Aggregate 29 day,DAY_29,37955.5,12728.5,84,0,0,193,35439
Aggregate 30 day,DAY_30,0,0,0,0,0,0,86400
Aggregate 31 day,DAY_31,50076,11137,8,20,0,88,25071
